"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
TRNQULTY.A,03/27/2019,53,75,9.26,212.59,"",""
TRNQULTY.A,03/28/2019,41,71,5.29,217.88,"",""
TRNQULTY.A,03/29/2019,42,69,4.55,222.43,"",""
TRNQULTY.A,03/30/2019,39,73,5.92,228.35,"",""
TRNQULTY.A,03/31/2019,41,78,8.31,236.66,"",""
TRNQULTY.A,04/01/2019,43,81,9.96,246.63,"",""
TRNQULTY.A,04/02/2019,47,77,8.80,255.43,"",""
TRNQULTY.A,04/03/2019,45,72,6.19,261.62,"",""
TRNQULTY.A,04/04/2019,45,70,5.31,266.93,"",""
TRNQULTY.A,04/05/2019,45,72,6.19,273.12,"",""
TRNQULTY.A,04/06/2019,44,79,9.21,282.33,"",""
TRNQULTY.A,04/07/2019,47,82,11.16,293.50,"",""
TRNQULTY.A,04/08/2019,55,81,13.00,306.50,"",""
TRNQULTY.A,04/09/2019,50,71,6.56,313.06,"",""
TRNQULTY.A,04/10/2019,52,73,7.99,321.05,"",""
TRNQULTY.A,04/11/2019,44,72,6.06,327.11,"",""
TRNQULTY.A,04/12/2019,44,75,7.39,334.50,"",""
TRNQULTY.A,04/13/2019,41,82,10.11,344.61,"",""
TRNQULTY.A,04/14/2019,47,85,12.59,357.20,"",""
TRNQULTY.A,04/15/2019,51,80,11.14,368.34,"",""
TRNQULTY.A,04/16/2019,51,70,6.30,374.64,"",""
TRNQULTY.A,04/17/2019,54,79,11.59,386.22,"",""
TRNQULTY.A,04/18/2019,46,89,14.29,400.51,"",""
TRNQULTY.A,04/19/2019,54,89,16.57,417.08,"1","1"
TRNQULTY.A,04/20/2019,52,80,11.42,428.50,"",""
TRNQULTY.A,04/21/2019,40,79,8.62,437.12,"",""
TRNQULTY.A,04/22/2019,44,85,11.99,449.11,"",""
TRNQULTY.A,04/23/2019,50,88,14.78,463.89,"1","1"
TRNQULTY.A,04/24/2019,54,96,19.88,483.77,"",""
TRNQULTY.A,04/25/2019,60,98,23.44,507.22,"",""
TRNQULTY.A,04/26/2019,56,91,18.50,525.72,"1","1"
TRNQULTY.A,04/27/2019,52,91,16.86,542.57,"",""
TRNQULTY.A,04/28/2019,46,87,13.33,555.90,"",""
TRNQULTY.A,04/29/2019,51,81,11.63,567.53,"",""
TRNQULTY.A,04/30/2019,48,78,9.47,577.00,"",""
TRNQULTY.A,05/01/2019,46,80,10.02,587.03,"",""
TRNQULTY.A,05/02/2019,49,86,13.54,600.57,"",""
TRNQULTY.A,05/03/2019,49,88,14.52,615.08,"",""
TRNQULTY.A,05/04/2019,52,89,15.87,630.95,"",""
TRNQULTY.A,05/05/2019,50,82,11.85,642.80,"",""
TRNQULTY.A,05/06/2019,53,79,11.24,654.04,"",""
TRNQULTY.A,05/07/2019,49,82,11.61,665.65,"",""
TRNQULTY.A,05/08/2019,51,85,13.59,679.24,"",""
TRNQULTY.A,05/09/2019,54,83,13.58,692.82,"",""
TRNQULTY.A,05/10/2019,55,76,10.50,703.32,"",""
TRNQULTY.A,05/11/2019,52,87,14.88,718.19,"",""
TRNQULTY.A,05/12/2019,56,92,19.00,737.19,"",""
TRNQULTY.A,05/13/2019,53,90,16.70,753.89,"",""
TRNQULTY.A,05/14/2019,55,87,16.00,769.89,"",""
TRNQULTY.A,05/15/2019,59,77,13.00,782.89,"",""
TRNQULTY.A,05/16/2019,49,70,5.90,788.79,"",""
TRNQULTY.A,05/17/2019,41,72,5.71,794.50,"",""
TRNQULTY.A,05/18/2019,42,70,4.97,799.47,"",""
TRNQULTY.A,05/19/2019,51,63,3.02,802.49,"",""
TRNQULTY.A,05/20/2019,45,71,5.75,808.23,"",""
TRNQULTY.A,05/21/2019,49,70,5.90,814.14,"",""
TRNQULTY.A,05/22/2019,50,72,7.04,821.18,"",""
TRNQULTY.A,05/23/2019,53,77,10.25,831.42,"",""
TRNQULTY.A,05/24/2019,52,80,11.42,842.84,"",""
TRNQULTY.A,05/25/2019,54,83,13.58,856.42,"",""
TRNQULTY.A,05/26/2019,47,62,2.14,858.57,"",""
TRNQULTY.A,05/27/2019,43,70,5.07,863.64,"",""
TRNQULTY.A,05/28/2019,53,77,10.25,873.89,"",""
TRNQULTY.A,05/29/2019,60,87,18.50,892.39,"",""
TRNQULTY.A,05/30/2019,56,90,18.00,910.39,"",""
TRNQULTY.A,05/31/2019,59,91,20.00,930.39,"",""
TRNQULTY.A,06/01/2019,62,93,22.50,952.89,"",""
TRNQULTY.A,06/02/2019,61,94,22.50,975.39,"",""
TRNQULTY.A,06/03/2019,62,93,22.50,997.89,"",""
TRNQULTY.A,06/04/2019,66,99,26.66,1024.55,"",""
TRNQULTY.A,06/05/2019,68,103,28.51,1053.06,"",""
TRNQULTY.A,06/06/2019,60,96,22.80,1075.85,"",""
TRNQULTY.A,06/07/2019,54,84,14.08,1089.93,"",""
TRNQULTY.A,06/08/2019,53,88,15.70,1105.64,"",""
TRNQULTY.A,06/09/2019,54,99,20.85,1126.48,"",""
TRNQULTY.A,06/10/2019,66,104,27.76,1154.24,"",""
TRNQULTY.A,06/11/2019,65,105,27.48,1181.72,"",""
TRNQULTY.A,06/12/2019,57,89,18.00,1199.72,"A","A"
TRNQULTY.A,06/13/2019,66,101,27.14,1226.86,"",""
TRNQULTY.A,06/14/2019,59,96,22.30,1249.17,"",""
TRNQULTY.A,06/15/2019,61,95,22.93,1272.09,"",""
TRNQULTY.A,06/16/2019,57,95,20.93,1293.02,"",""
TRNQULTY.A,06/17/2019,60,98,23.44,1316.47,"",""
TRNQULTY.A,06/18/2019,68,98,27.37,1343.84,"1","1"
TRNQULTY.A,06/19/2019,68,103,28.51,1372.35,"",""
TRNQULTY.A,06/20/2019,60,92,21.00,1393.35,"",""
TRNQULTY.A,06/21/2019,57,90,18.50,1411.85,"",""
TRNQULTY.A,06/22/2019,55,95,19.93,1431.78,"",""
TRNQULTY.A,06/23/2019,59,100,23.51,1455.29,"",""
TRNQULTY.A,06/24/2019,64,101,26.18,1481.47,"",""
TRNQULTY.A,06/25/2019,62,98,24.43,1505.90,"",""
TRNQULTY.A,06/26/2019,59,90,19.50,1525.40,"",""
TRNQULTY.A,06/27/2019,53,87,15.21,1540.61,"",""
TRNQULTY.A,06/28/2019,62,94,23.00,1563.61,"A","A"
TRNQULTY.A,06/29/2019,61,93,22.00,1585.61,"A","A"
TRNQULTY.A,06/30/2019,60,95,22.43,1608.04,"",""
TRNQULTY.A,07/01/2019,58,96,21.80,1629.84,"",""
TRNQULTY.A,07/02/2019,55,95,19.93,1649.77,"",""
TRNQULTY.A,07/03/2019,62,95,23.43,1673.20,"A","A"
TRNQULTY.A,07/04/2019,56,95,20.43,1693.63,"",""
TRNQULTY.A,07/05/2019,61,100,24.49,1718.12,"",""
TRNQULTY.A,07/06/2019,60,100,24.00,1742.11,"",""
TRNQULTY.A,07/07/2019,63,94,23.50,1765.61,"A","A"
TRNQULTY.A,07/08/2019,56,94,20.00,1785.61,"",""
TRNQULTY.A,07/09/2019,56,88,17.00,1802.61,"1","1"
TRNQULTY.A,07/10/2019,61,97,23.63,1826.24,"",""
TRNQULTY.A,07/11/2019,64,100,25.94,1852.18,"",""
TRNQULTY.A,07/12/2019,64,101,26.18,1878.37,"",""
TRNQULTY.A,07/13/2019,65,105,27.48,1905.84,"",""
TRNQULTY.A,07/14/2019,66,104,27.76,1933.60,"",""
TRNQULTY.A,07/15/2019,65,102,26.88,1960.49,"",""
TRNQULTY.A,07/16/2019,64,99,25.69,1986.17,"",""
TRNQULTY.A,07/17/2019,63,96,24.29,2010.46,"A","A"
TRNQULTY.A,07/18/2019,62,101,25.22,2035.68,"",""
TRNQULTY.A,07/19/2019,61,97,23.63,2059.31,"",""
TRNQULTY.A,07/20/2019,62,95,23.43,2082.74,"",""
TRNQULTY.A,07/21/2019,64,97,25.11,2107.85,"A","A"
TRNQULTY.A,07/22/2019,68,104,28.69,2136.54,"",""
TRNQULTY.A,07/23/2019,71,106,30.40,2166.95,"",""
TRNQULTY.A,07/24/2019,70,105,29.79,2196.74,"",""
TRNQULTY.A,07/25/2019,63,96,24.29,2221.03,"A","A"
TRNQULTY.A,07/26/2019,71,106,30.40,2251.43,"",""
TRNQULTY.A,07/27/2019,66,105,27.94,2279.37,"",""
TRNQULTY.A,07/28/2019,70,108,30.24,2309.61,"",""
TRNQULTY.A,07/29/2019,69,104,29.16,2338.77,"",""
TRNQULTY.A,07/30/2019,61,98,23.94,2362.71,"",""
TRNQULTY.A,07/31/2019,60,99,23.73,2386.44,"",""
TRNQULTY.A,08/01/2019,59,99,23.24,2409.68,"",""
TRNQULTY.A,08/02/2019,63,98,24.92,2434.60,"",""
TRNQULTY.A,08/03/2019,61,103,25.19,2459.79,"",""
TRNQULTY.A,08/04/2019,63,95,23.92,2483.71,"A","A"
TRNQULTY.A,08/05/2019,67,100,27.39,2511.11,"",""
TRNQULTY.A,08/06/2019,67,104,28.23,2539.33,"",""
TRNQULTY.A,08/07/2019,67,101,27.62,2566.96,"",""
TRNQULTY.A,08/08/2019,64,96,24.79,2591.74,"A","A"
TRNQULTY.A,08/09/2019,60,93,21.50,2613.24,"",""
TRNQULTY.A,08/10/2019,62,91,21.50,2634.74,"",""
TRNQULTY.A,08/11/2019,58,87,17.50,2652.24,"1","1"
TRNQULTY.A,08/12/2019,59,98,22.95,2675.19,"",""
TRNQULTY.A,08/13/2019,63,102,25.93,2701.12,"",""
TRNQULTY.A,08/14/2019,66,105,27.94,2729.07,"",""
TRNQULTY.A,08/15/2019,68,106,29.04,2758.10,"",""
TRNQULTY.A,08/16/2019,69,101,28.58,2786.68,"1","1"
TRNQULTY.A,08/17/2019,62,94,23.00,2809.68,"A","A"
TRNQULTY.A,08/18/2019,58,93,20.50,2830.18,"",""
TRNQULTY.A,08/19/2019,58,93,20.50,2850.68,"",""
TRNQULTY.A,08/20/2019,59,93,21.00,2871.68,"",""
TRNQULTY.A,08/21/2019,58,97,22.14,2893.82,"",""
TRNQULTY.A,08/22/2019,68,99,27.63,2921.46,"",""
TRNQULTY.A,08/23/2019,69,102,28.78,2950.24,"",""
TRNQULTY.A,08/24/2019,69,102,28.78,2979.03,"",""
TRNQULTY.A,08/25/2019,70,104,29.62,3008.65,"",""
TRNQULTY.A,08/26/2019,68,104,28.69,3037.34,"",""
TRNQULTY.A,08/27/2019,68,106,29.04,3066.38,"",""
TRNQULTY.A,08/28/2019,70,97,28.07,3094.45,"1","1"
TRNQULTY.A,08/29/2019,66,96,25.78,3120.23,"",""
TRNQULTY.A,08/30/2019,63,95,23.92,3144.16,"",""
TRNQULTY.A,08/31/2019,64,101,26.18,3170.34,"",""
TRNQULTY.A,09/01/2019,66,103,27.57,3197.90,"",""
TRNQULTY.A,09/02/2019,62,96,23.79,3221.70,"A","A"
TRNQULTY.A,09/03/2019,65,94,24.50,3246.20,"1","1"
TRNQULTY.A,09/04/2019,65,97,25.61,3271.80,"1","1"
TRNQULTY.A,09/05/2019,63,94,23.50,3295.30,"A","A"
TRNQULTY.A,09/06/2019,65,100,26.43,3321.73,"",""
TRNQULTY.A,09/07/2019,59,91,20.00,3341.73,"",""
TRNQULTY.A,09/08/2019,53,86,14.71,3356.44,"",""
TRNQULTY.A,09/09/2019,55,87,16.00,3372.44,"",""
TRNQULTY.A,09/10/2019,54,85,14.58,3387.02,"",""
TRNQULTY.A,09/11/2019,55,89,17.00,3404.02,"",""
TRNQULTY.A,09/12/2019,57,96,21.31,3425.32,"",""
TRNQULTY.A,09/13/2019,59,100,23.51,3448.83,"",""
TRNQULTY.A,09/14/2019,61,99,24.22,3473.05,"1","1"
TRNQULTY.A,09/15/2019,64,97,25.11,3498.17,"",""
TRNQULTY.A,09/16/2019,56,84,15.00,3513.17,"",""
TRNQULTY.A,09/17/2019,49,84,12.57,3525.74,"",""
TRNQULTY.A,09/18/2019,53,86,14.71,3540.45,"",""
TRNQULTY.A,09/19/2019,59,82,15.50,3555.95,"",""
TRNQULTY.A,09/20/2019,51,86,14.08,3570.03,"",""
TRNQULTY.A,09/21/2019,51,90,16.05,3586.08,"",""
TRNQULTY.A,09/22/2019,51,95,18.45,3604.53,"",""
TRNQULTY.A,09/23/2019,61,90,20.50,3625.03,"",""
TRNQULTY.A,09/24/2019,60,96,22.80,3647.83,"",""
TRNQULTY.A,09/25/2019,55,100,21.56,3669.39,"",""
TRNQULTY.A,09/26/2019,63,99,25.20,3694.59,"",""
TRNQULTY.A,09/27/2019,61,86,18.50,3713.09,"",""
TRNQULTY.A,09/28/2019,51,80,11.14,3724.23,"",""
TRNQULTY.A,09/29/2019,57,86,16.50,3740.73,"A","A"
TRNQULTY.A,09/30/2019,56,86,16.00,3756.73,"A","A"
TRNQULTY.A,10/01/2019,45,74,7.09,3763.81,"",""
TRNQULTY.A,10/02/2019,39,80,8.93,3772.75,"",""
TRNQULTY.A,10/03/2019,45,84,11.71,3784.46,"",""
TRNQULTY.A,10/04/2019,47,79,9.74,3794.20,"",""
TRNQULTY.A,10/05/2019,42,83,10.72,3804.92,"",""
TRNQULTY.A,10/06/2019,44,90,14.34,3819.26,"",""
TRNQULTY.A,10/07/2019,52,92,17.35,3836.61,"",""
TRNQULTY.A,10/08/2019,50,93,17.23,3853.84,"",""
TRNQULTY.A,10/09/2019,49,79,10.16,3864.01,"",""
TRNQULTY.A,10/10/2019,45,76,8.00,3872.01,"",""
TRNQULTY.A,10/11/2019,43,80,9.51,3881.51,"1","1"
TRNQULTY.A,10/12/2019,43,82,10.42,3891.93,"1","1"
TRNQULTY.A,10/13/2019,43,83,10.88,3902.82,"1","1"
TRNQULTY.A,10/14/2019,45,80,9.84,3912.66,"1","1"
TRNQULTY.A,10/15/2019,45,84,11.71,3924.37,"1","1"
TRNQULTY.A,10/16/2019,44,83,11.06,3935.42,"",""
TRNQULTY.A,10/17/2019,50,76,8.95,3944.37,"",""
TRNQULTY.A,10/18/2019,47,77,8.80,3953.18,"",""
TRNQULTY.A,10/19/2019,42,78,8.45,3961.63,"",""
TRNQULTY.A,10/20/2019,52,78,10.44,3972.07,"",""
TRNQULTY.A,10/21/2019,49,80,10.64,3982.71,"",""
TRNQULTY.A,10/22/2019,45,86,12.65,3995.36,"",""
TRNQULTY.A,10/23/2019,47,85,12.59,4007.96,"",""
TRNQULTY.A,10/24/2019,50,88,14.78,4022.74,"",""
TRNQULTY.A,10/25/2019,45,90,14.55,4037.28,"",""
TRNQULTY.A,10/26/2019,42,87,12.56,4049.84,"",""
TRNQULTY.A,10/27/2019,42,72,5.82,4055.66,"",""
TRNQULTY.A,10/28/2019,47,73,6.95,4062.61,"A","A"
TRNQULTY.A,10/29/2019,48,72,6.66,4069.27,"A","A"
TRNQULTY.A,10/30/2019,48,70,5.74,4075.00,"A","A"
TRNQULTY.A,10/31/2019,45,68,4.44,4079.44,"A","A"
TRNQULTY.A,11/01/2019,31,72,4.87,4084.31,"1","1"
TRNQULTY.A,11/02/2019,34,73,5.48,4089.79,"1","1"
TRNQULTY.A,11/03/2019,35,75,6.37,4096.16,"1","1"
TRNQULTY.A,11/04/2019,38,76,7.08,4103.24,"1","1"
TRNQULTY.A,11/05/2019,41,77,7.87,4111.11,"1","1"
TRNQULTY.A,11/06/2019,45,69,4.87,4115.98,"A","A"
TRNQULTY.A,11/07/2019,44,77,8.30,4124.28,"1","1"
TRNQULTY.A,11/08/2019,45,77,8.46,4132.73,"1","1"
TRNQULTY.A,11/09/2019,43,75,7.25,4139.99,"1","1"
TRNQULTY.A,11/10/2019,40,75,6.88,4146.86,"1","1"
TRNQULTY.A,11/11/2019,43,75,7.25,4154.12,"1","1"
TRNQULTY.A,11/12/2019,43,76,7.70,4161.82,"1","1"
TRNQULTY.A,11/13/2019,44,67,3.91,4165.73,"A","A"
TRNQULTY.A,11/14/2019,43,65,3.02,4168.75,"A","A"
TRNQULTY.A,11/15/2019,49,66,4.07,4172.82,"1","1"
TRNQULTY.A,11/16/2019,42,70,4.97,4177.79,"1","1"
TRNQULTY.A,11/17/2019,41,70,4.87,4182.66,"1","1"
TRNQULTY.A,11/18/2019,42,72,5.82,4188.47,"1","1"
TRNQULTY.A,11/19/2019,45,73,6.64,4195.11,"1","1"
TRNQULTY.A,11/20/2019,45,66,3.60,4198.71,"1","1"
TRNQULTY.A,11/21/2019,39,64,2.39,4201.09,"1","1"
TRNQULTY.A,11/22/2019,39,66,3.12,4204.21,"1","1"
TRNQULTY.A,11/23/2019,41,66,3.26,4207.47,"1","1"
TRNQULTY.A,11/24/2019,37,68,3.75,4211.22,"1","1"
TRNQULTY.A,11/25/2019,36,64,2.24,4213.46,"1","1"
TRNQULTY.A,11/26/2019,38,55,0.00,4213.46,"1","1"
TRNQULTY.A,11/27/2019,39,53,0.00,4213.46,"1","1"
TRNQULTY.A,11/28/2019,39,59,0.78,4214.24,"A","A"
TRNQULTY.A,11/29/2019,37,54,0.00,4214.24,"1","1"
TRNQULTY.A,11/30/2019,38,59,0.76,4215.00,"A","A"
TRNQULTY.A,12/01/2019,46,51,0.00,4215.00,"1","1"
TRNQULTY.A,12/02/2019,49,60,1.51,4216.50,"1","1"
TRNQULTY.A,12/03/2019,45,53,0.00,4216.50,"1","1"
TRNQULTY.A,12/04/2019,48,57,0.41,4216.91,"1","1"
TRNQULTY.A,12/05/2019,47,62,2.14,4219.06,"1","1"
TRNQULTY.A,12/06/2019,45,68,4.44,4223.50,"1","1"
TRNQULTY.A,12/07/2019,39,57,0.29,4223.78,"A","A"
TRNQULTY.A,12/08/2019,49,60,1.51,4225.29,"1","1"
TRNQULTY.A,12/09/2019,45,59,0.94,4226.23,"1","1"
TRNQULTY.A,12/10/2019,48,55,0.00,4226.23,"1","1"
TRNQULTY.A,12/11/2019,47,51,0.00,4226.23,"1","1"
TRNQULTY.A,12/12/2019,47,66,3.81,4230.04,"1","1"
TRNQULTY.A,12/13/2019,37,56,0.10,4230.14,"A","A"
TRNQULTY.A,12/14/2019,48,60,1.44,4231.57,"1","1"
TRNQULTY.A,12/15/2019,41,56,0.11,4231.68,"1","1"
TRNQULTY.A,12/16/2019,36,53,0.00,4231.68,"1","1"
TRNQULTY.A,12/17/2019,34,56,0.09,4231.78,"1","1"
TRNQULTY.A,12/18/2019,40,60,1.09,4232.87,"1","1"
TRNQULTY.A,12/19/2019,43,58,0.58,4233.45,"1","1"
TRNQULTY.A,12/20/2019,38,60,1.04,4234.48,"1","1"
TRNQULTY.A,12/21/2019,43,62,1.88,4236.36,"1","1"
TRNQULTY.A,12/22/2019,43,61,1.53,4237.89,"1","1"
TRNQULTY.A,12/23/2019,41,52,0.00,4237.89,"1","1"
TRNQULTY.A,12/24/2019,38,55,0.00,4237.89,"1","1"
TRNQULTY.A,12/25/2019,41,55,0.00,4237.89,"1","1"
TRNQULTY.A,12/26/2019,35,53,0.00,4237.89,"A","A"
TRNQULTY.A,12/27/2019,37,53,0.00,4237.89,"A","A"
TRNQULTY.A,12/28/2019,36,53,0.00,4237.89,"A","A"
TRNQULTY.A,12/29/2019,38,54,0.00,4237.89,"A","A"
TRNQULTY.A,12/30/2019,39,54,0.00,4237.89,"A","A"
TRNQULTY.A,12/31/2019,39,54,0.00,4237.89,"A","A"
